Exception: Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
         370114 function calls (351434 primitive calls) in 2.634 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    2.290    2.290    2.290    2.290 {method 'enable' of '_lsprof.Profiler' objects}
      150    0.077    0.001    0.077    0.001 {method 'read' of '_io.BufferedReader' objects}
 3202/196    0.026    0.000    0.072    0.000 sre_parse.py:493(_parse)
       22    0.018    0.001    0.018    0.001 {built-in method _imp.create_dynamic}
      149    0.016    0.000    0.016    0.000 {built-in method marshal.loads}
 3944/187    0.014    0.000    0.034    0.000 sre_compile.py:71(_compile)
      854    0.010    0.000    0.010    0.000 {built-in method posix.stat}
    21967    0.008    0.000    0.008    0.000 sre_parse.py:233(__next)
      885    0.008    0.000    0.011    0.000 sre_compile.py:276(_optimize_charset)
    23036    0.007    0.000    0.010    0.000 sre_parse.py:164(__getitem__)
  503/502    0.006    0.000    0.085    0.000 {built-in method builtins.__build_class__}
      150    0.006    0.000    0.006    0.000 {built-in method io.open_code}
 3943/359    0.006    0.000    0.008    0.000 sre_parse.py:174(getwidth)
48750/44022    0.005    0.000    0.006    0.000 {built-in method builtins.len}
 1197/188    0.005    0.000    0.073    0.000 sre_parse.py:435(_parse_sub)
    53253    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
    14799    0.004    0.000    0.010    0.000 sre_parse.py:254(get)
        1    0.004    0.004    0.030    0.030 dammit.py:70(_populate_class_variables)
      448    0.004    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1527(find_spec)
    30475    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
       16    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
       89    0.003    0.000    0.003    0.000 {built-in method posix.getcwd}
    10397    0.003    0.000    0.005    0.000 sre_parse.py:249(match)
     4618    0.003    0.000    0.003    0.000 sre_parse.py:111(__init__)
      472    0.002    0.000    0.003    0.000 css_types.py:40(__init__)
     9449    0.002    0.000    0.003    0.000 sre_parse.py:160(__len__)
      150    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
     2319    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     5768    0.002    0.000    0.002    0.000 sre_parse.py:172(append)
    10154    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     2319    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      149    0.002    0.000    0.110    0.001 <frozen importlib._bootstrap_external>:950(get_code)
  198/159    0.002    0.000    0.056    0.000 <frozen importlib._bootstrap>:921(_find_spec)
     2525    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
      253    0.002    0.000    0.120    0.000 re.py:288(_compile)
       16    0.001    0.000    0.003    0.000 enum.py:180(__new__)
     1757    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     4082    0.001    0.000    0.002    0.000 sre_parse.py:286(tell)
      298    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
      885    0.001    0.000    0.002    0.000 sre_compile.py:249(_compile_charset)
      196    0.001    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1390(_get_spec)
       22    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
      329    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x10cdbfc70}
    200/3    0.001    0.000    0.344    0.115 <frozen importlib._bootstrap>:1022(_find_and_load)
      121    0.001    0.000    0.002    0.000 sre_compile.py:492(_get_charset_prefix)
      325    0.001    0.000    0.004    0.000 css_parser.py:1115(selector_iter)
     1060    0.001    0.000    0.002    0.000 sre_parse.py:295(_class_escape)
      268    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
      150    0.001    0.000    0.086    0.001 <frozen importlib._bootstrap_external>:1070(get_data)
2799/2731    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     3962    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
      241    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      187    0.001    0.000    0.007    0.000 sre_compile.py:536(_compile_info)
      177    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
      187    0.001    0.000    0.117    0.001 sre_compile.py:759(compile)
     2447    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
    177/3    0.001    0.000    0.343    0.114 <frozen importlib._bootstrap>:664(_load_unlocked)
     3671    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      792    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
    52/14    0.001    0.000    0.014    0.001 css_parser.py:925(parse_selectors)
    199/3    0.001    0.000    0.344    0.115 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
     7471    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
       12    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
     2729    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     5384    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
      279    0.001    0.000    0.002    0.000 enum.py:89(__setitem__)
      800    0.001    0.000    0.001    0.000 typing.py:972(__setattr__)
     1346    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
      879    0.001    0.000    0.001    0.000 sre_parse.py:432(_uniq)
     2251    0.001    0.000    0.002    0.000 css_parser.py:319(match)
      241    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
     4936    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
      989    0.001    0.000    0.002    0.000 sre_compile.py:423(_simple)
      171    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
       30    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
      241    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
      298    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
