Exception: Couldn't find a tree builder with the features you requested: lxml. Do you need to install a parser library?
         370138 function calls (351454 primitive calls) in 2.082 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    53257    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
48758/44026    0.005    0.000    0.006    0.000 {built-in method builtins.len}
    30479    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
    23040    0.007    0.000    0.010    0.000 sre_parse.py:164(__getitem__)
    21967    0.008    0.000    0.008    0.000 sre_parse.py:233(__next)
    14799    0.004    0.000    0.010    0.000 sre_parse.py:254(get)
    10397    0.003    0.000    0.005    0.000 sre_parse.py:249(match)
    10154    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     9453    0.002    0.000    0.003    0.000 sre_parse.py:160(__len__)
     7471    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     5768    0.002    0.000    0.002    0.000 sre_parse.py:172(append)
     5384    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     4936    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
     4618    0.003    0.000    0.003    0.000 sre_parse.py:111(__init__)
     4082    0.001    0.000    0.002    0.000 sre_parse.py:286(tell)
     3962    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
 3944/187    0.014    0.000    0.034    0.000 sre_compile.py:71(_compile)
 3943/359    0.006    0.000    0.008    0.000 sre_parse.py:174(getwidth)
     3793    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     3671    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
 3202/196    0.026    0.000    0.072    0.000 sre_parse.py:493(_parse)
     2931    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
2799/2731    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     2729    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     2525    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
     2447    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
     2319    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     2319    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     2251    0.001    0.000    0.002    0.000 css_parser.py:319(match)
 1894/736    0.000    0.000    0.032    0.000 {built-in method builtins.hasattr}
     1757    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     1665    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1372    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     1346    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
     1254    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1254    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
 1197/188    0.005    0.000    0.073    0.000 sre_parse.py:435(_parse_sub)
     1060    0.001    0.000    0.002    0.000 sre_parse.py:295(_class_escape)
      989    0.001    0.000    0.002    0.000 sre_compile.py:423(_simple)
      955    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      954    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      935    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      910    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      885    0.001    0.000    0.002    0.000 sre_compile.py:249(_compile_charset)
      885    0.007    0.000    0.010    0.000 sre_compile.py:276(_optimize_charset)
      879    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      879    0.001    0.000    0.001    0.000 sre_parse.py:432(_uniq)
      854    0.007    0.000    0.007    0.000 {built-in method posix.stat}
      854    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      813    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:893(__enter__)
      813    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:897(__exit__)
      800    0.000    0.000    0.001    0.000 typing.py:921(_is_dunder)
      800    0.001    0.000    0.001    0.000 typing.py:972(__setattr__)
