('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         617079 function calls (591908 primitive calls) in 6.746 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.001    5.001    5.001    5.001 {built-in method time.sleep}
      158    1.040    0.007    1.040    0.007 {method 'read' of '_ssl._SSLSocket' objects}
      156    0.081    0.001    0.081    0.001 {method 'read' of '_io.FileIO' objects}
        1    0.064    0.064    0.064    0.064 {built-in method _socket.gethostbyname}
        1    0.059    0.059    0.059    0.059 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.056    0.056    0.056    0.056 {method 'connect' of '_socket.socket' objects}
       24    0.044    0.002    0.044    0.002 {built-in method _imp.create_dynamic}
 3241/216    0.024    0.000    0.069    0.000 sre_parse.py:469(_parse)
      156    0.016    0.000    0.016    0.000 {built-in method marshal.loads}
        1    0.015    0.015    0.015    0.015 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
 4006/204    0.013    0.000    0.031    0.000 sre_compile.py:71(_compile)
7958/1924    0.013    0.000    0.025    0.000 element.py:2192(_matches)
   100417    0.011    0.000    0.015    0.000 {built-in method builtins.isinstance}
    12000    0.009    0.000    0.009    0.000 {method 'match' of 're.Pattern' objects}
      931    0.009    0.000    0.009    0.000 {built-in method posix.stat}
       18    0.009    0.000    0.009    0.000 {built-in method posix.listdir}
    22257    0.008    0.000    0.008    0.000 sre_parse.py:233(__next)
     1262    0.008    0.000    0.043    0.000 parser.py:301(parse_starttag)
    23472    0.007    0.000    0.010    0.000 sre_parse.py:164(__getitem__)
      523    0.007    0.000    0.080    0.000 {built-in method builtins.__build_class__}
      907    0.007    0.000    0.010    0.000 sre_compile.py:276(_optimize_charset)
        2    0.006    0.003    0.072    0.036 parser.py:134(goahead)
      156    0.006    0.000    0.088    0.001 <frozen importlib._bootstrap_external>:914(get_data)
 4013/384    0.006    0.000    0.008    0.000 sre_parse.py:174(getwidth)
      704    0.006    0.000    0.006    0.000 {built-in method __new__ of type object at 0x1097c1d50}
    60168    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
        1    0.005    0.005    0.005    0.005 {built-in method _scproxy._get_proxy_settings}
51769/46966    0.005    0.000    0.006    0.000 {built-in method builtins.len}
       21    0.005    0.000    0.005    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     1263    0.005    0.000    0.012    0.000 element.py:1180(__init__)
 1229/205    0.005    0.000    0.069    0.000 sre_parse.py:411(_parse_sub)
    15016    0.004    0.000    0.009    0.000 sre_parse.py:254(get)
      100    0.004    0.000    0.004    0.000 {built-in method posix.getcwd}
      514    0.004    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
     1771    0.003    0.000    0.030    0.000 element.py:2096(search_tag)
        1    0.003    0.003    0.028    0.028 dammit.py:70(_populate_class_variables)
     1262    0.003    0.000    0.019    0.000 __init__.py:694(handle_starttag)
18638/17684    0.003    0.000    0.062    0.000 {built-in method builtins.hasattr}
     1262    0.003    0.000    0.023    0.000 _htmlparser.py:122(handle_starttag)
     3695    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
     1263    0.003    0.000    0.003    0.000 __init__.py:544(pushTag)
    10563    0.003    0.000    0.005    0.000 sre_parse.py:249(match)
      956    0.003    0.000    0.005    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
     1194    0.003    0.000    0.015    0.000 parser.py:386(parse_endtag)
    24/22    0.003    0.000    0.014    0.001 {built-in method _imp.exec_dynamic}
     1262    0.002    0.000    0.005    0.000 __init__.py:660(_popToTag)
      472    0.002    0.000    0.003    0.000 css_types.py:40(__init__)
     9586    0.002    0.000    0.003    0.000 sre_parse.py:160(__len__)
    10330    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     2115    0.002    0.000    0.002    0.000 element.py:157(setup)
