('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         613439 function calls (588578 primitive calls) in 1.106 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      156    0.569    0.004    0.569    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.059    0.059    0.059    0.059 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.056    0.056    0.056    0.056 {method 'connect' of '_socket.socket' objects}
        1    0.033    0.033    0.033    0.033 {built-in method _socket.gethostbyname}
 3216/204    0.026    0.000    0.073    0.000 sre_parse.py:493(_parse)
 3971/195    0.015    0.000    0.034    0.000 sre_compile.py:71(_compile)
7966/1926    0.014    0.000    0.026    0.000 element.py:2192(_matches)
      150    0.012    0.000    0.012    0.000 {built-in method marshal.loads}
   100464    0.011    0.000    0.015    0.000 {built-in method builtins.isinstance}
       22    0.010    0.000    0.010    0.000 {built-in method _imp.create_dynamic}
     1274    0.010    0.000    0.047    0.000 parser.py:300(parse_starttag)
    12109    0.010    0.000    0.010    0.000 {method 'match' of 're.Pattern' objects}
    22110    0.008    0.000    0.008    0.000 sre_parse.py:233(__next)
        1    0.008    0.008    0.008    0.008 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
      864    0.008    0.000    0.008    0.000 {built-in method posix.stat}
        2    0.008    0.004    0.079    0.040 parser.py:133(goahead)
      895    0.007    0.000    0.011    0.000 sre_compile.py:276(_optimize_charset)
    23232    0.007    0.000    0.010    0.000 sre_parse.py:164(__getitem__)
 3974/371    0.006    0.000    0.008    0.000 sre_parse.py:174(getwidth)
  505/504    0.006    0.000    0.085    0.000 {built-in method builtins.__build_class__}
52197/47449    0.006    0.000    0.007    0.000 {built-in method builtins.len}
    59787    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
 1211/196    0.005    0.000    0.074    0.000 sre_parse.py:435(_parse_sub)
     1275    0.005    0.000    0.013    0.000 element.py:1180(__init__)
    14921    0.005    0.000    0.010    0.000 sre_parse.py:254(get)
      151    0.004    0.000    0.004    0.000 {built-in method io.open_code}
       25    0.004    0.000    0.004    0.000 {method 'decompress' of 'zlib.Decompress' objects}
        1    0.004    0.004    0.030    0.030 dammit.py:70(_populate_class_variables)
     1783    0.004    0.000    0.032    0.000 element.py:2096(search_tag)
     1274    0.004    0.000    0.020    0.000 __init__.py:694(handle_starttag)
      786    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x10d3ccc70}
        1    0.003    0.003    0.003    0.003 {built-in method _scproxy._get_proxy_settings}
     1205    0.003    0.000    0.016    0.000 parser.py:385(parse_endtag)
      451    0.003    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1527(find_spec)
     1274    0.003    0.000    0.025    0.000 _htmlparser.py:122(handle_starttag)
      966    0.003    0.000    0.006    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
     3731    0.003    0.000    0.003    0.000 {method 'search' of 're.Pattern' objects}
    10453    0.003    0.000    0.005    0.000 sre_parse.py:249(match)
     2143    0.003    0.000    0.003    0.000 element.py:157(setup)
     1275    0.003    0.000    0.003    0.000 __init__.py:544(pushTag)
     1274    0.002    0.000    0.005    0.000 __init__.py:660(_popToTag)
     4966    0.002    0.000    0.004    0.000 _markupbase.py:44(updatepos)
18323/17165    0.002    0.000    0.035    0.000 {built-in method builtins.hasattr}
     5856    0.002    0.000    0.003    0.000 sre_parse.py:172(append)
     4646    0.002    0.000    0.002    0.000 sre_parse.py:111(__init__)
       90    0.002    0.000    0.002    0.000 {built-in method posix.getcwd}
      472    0.002    0.000    0.003    0.000 css_types.py:40(__init__)
     9495    0.002    0.000    0.003    0.000 sre_parse.py:160(__len__)
     2409    0.002    0.000    0.035    0.000 element.py:2159(search)
     1274    0.002    0.000    0.002    0.000 __init__.py:530(popTag)
     2553    0.002    0.000    0.006    0.000 __init__.py:558(endData)
     7333    0.002    0.000    0.003    0.000 element.py:2059(_normalize_search_value)
      820    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
     8326    0.002    0.000    0.003    0.000 abc.py:117(__instancecheck__)
    10218    0.002    0.000    0.002    0.000 {built-in method builtins.min}
      191    0.002    0.000    0.154    0.001 {method 'read' of '_io.BufferedReader' objects}
       66    0.002    0.000    0.039    0.001 element.py:779(_find_all)
      340    0.002    0.000    0.121    0.000 re.py:288(_compile)
    11461    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
     5385    0.002    0.000    0.002    0.000 {method 'group' of 're.Match' objects}
     2335    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     2335    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     7762    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     8326    0.001    0.000    0.002    0.000 {built-in method _abc._abc_instancecheck}
     1274    0.001    0.000    0.004    0.000 parser.py:351(check_for_whole_start_tag)
  199/160    0.001    0.000    0.050    0.000 <frozen importlib._bootstrap>:921(_find_spec)
       16    0.001    0.000    0.003    0.000 enum.py:180(__new__)
     4120    0.001    0.000    0.002    0.000 sre_parse.py:286(tell)
        1    0.001    0.001    0.001    0.001 connectionpool.py:483(close)
      895    0.001    0.000    0.002    0.000 sre_compile.py:249(_compile_charset)
     2925    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
4099/4031    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      150    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:950(get_code)
       22    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
        1    0.001    0.001    0.001    0.001 models.py:906(text)
      197    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:1390(_get_spec)
        1    0.001    0.001    0.001    0.001 {built-in method _socket.getaddrinfo}
